block,NumSp,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
R4_b14,4,1787.0964,1554.5328000000002,984.4768000000001,946.4492999999999,911.0572,745.903,631.6555,327.552,261.8072,889.314,391.03499999999997,529.4559999999999,437.059,463.81299999999993,476.54200000000003,441.2129999999999,473.8,423.196,417.16700000000003,288.02700000000004,304.403,218.36699999999996
R4_b15,4,1619.6863,1165.6892,884.0524000000001,817.9480999999998,805.676,759.8214999999998,591.4027,343.293,226.00529999999998,698.9010000000001,358.81800000000004,419.995,400.226,373.172,418.67699999999996,362.95199999999994,375.05899999999997,397.33900000000006,358.649,270.531,225.85100000000003,199.778
R4_b16,4,1613.0032,1285.6975,930.5541999999999,770.9520000000001,772.0249,623.0536000000001,561.8304,349.43199999999996,212.21600000000004,856.3340000000001,370.15199999999993,586.2059999999999,363.659,496.37399999999997,439.5209999999999,426.291,397.75499999999994,422.73400000000004,369.95900000000006,326.247,248.36000000000004,227.442
R4_b17,4,1438.4770000000003,1183.1216,811.9487000000001,811.8851,661.4896,512.7624,495.0576,285.863,164.4192,732.867,345.59200000000004,440.34399999999994,366.372,390.25,464.76899999999995,362.923,354.33,375.05000000000007,347.68300000000005,283.739,237.71300000000005,220.76299999999998
R4_b18,4,1510.7567999999999,1210.8411,853.0024,786.942,688.8254,558.4297999999999,520.1631,304.265,211.14520000000002,744.193,361.21000000000004,500.12600000000003,329.2420000000001,431.09700000000004,414.657,402.681,381.199,395.89500000000004,322.545,283.861,253.35,205.041
R4_b19,4,1956.3335000000002,1671.0683999999997,1116.8988,941.2140999999999,1051.0541,836.7323,630.3588,421.948,225.39000000000004,908.3210000000001,464.23199999999986,639.241,539.256,528.277,549.6690000000001,472.942,508.40299999999996,496.13899999999995,447.35699999999997,354.957,324.35900000000004,288.284
R8_b0,8,1885.3369000000002,1576.1816000000001,1256.0314999999998,1072.1412999999998,978.1536000000002,916.7618999999999,778.5346999999999,353.63199999999995,266.00890000000004,806.4870000000001,445.822,601.233,473.465,527.4419999999999,538.05,505.38,449.18899999999996,529.1129999999999,380.236,339.688,312.68100000000004,259.545
R8_b1,8,1787.0569,1765.455,1271.8254000000002,1008.0354,890.9712999999999,882.1795999999998,729.0922,323.013,273.8972,796.96,462.055,595.9959999999999,470.6170000000001,530.17201,518.6850000000002,537.077,476.64399999999995,506.204,413.616,361.183,323.624,294.14599999999996
R8_b2,8,1989.0704000000005,1800.4599999999998,1320.1236999999999,1026.5214999999998,940.3325000000001,970.4123,726.1333,390.561,263.7604,832.793,470.834,655.5640000000001,483.92699999999996,543.8149999999999,553.5040000000001,536.6360000000001,496.21099999999996,500.73400000000004,450.265,300.483,317.661,295.433
R8_b3,8,2214.4932999999996,1938.81,1580.8393999999998,1310.2593,1217.5233999999998,1066.1172,804.1045000000001,379.121,291.2247,811.043,470.287,631.912,493.08900000000006,483.22701000000006,507.78200000000004,520.873,477.526,508.51099999999997,439.575,322.95199999999994,313.734,291.13699999999994
