plot,NumSp,Yn,Omega2,Delta2,I2_obs,Phi2_obs,I2_scalar,I2_cdsm,Phi2_scalar,Phi2_cdsm
R2_b5,2,384.9370638655463,0.2072155040881004,0.17250657503280675,0.2857932483222839,0.3018730557254955,0.6824386538240146,0.4203795764837014,0.4571444883135891,0.3018730557254955
R2_b6,2,367.68803823529413,-0.024619847773287296,0.17952385491909506,0.3387709801465779,0.33069766711523263,0.5909846655978415,,0.3102452790329197,
R2_b7,2,530.2068478991597,0.23921380174712847,0.06894593208253141,0.39032538499900227,0.4375588446614008,0.6792076181983153,0.4033181542646712,0.3405036000506518,0.4375588446614008
R2_b8,2,494.71702026143794,0.014446522416186713,0.31721573252184,0.29596973691737305,0.1968586819014424,0.6317173013429496,0.2835612100649705,0.5405405312973481,0.1968586819014424
R2_b9,2,460.2542836601308,0.1443247128348577,0.1498409650492737,0.3665094428085942,0.47268189573421027,0.6534004149462872,0.33788326866446905,0.38154324351022195,0.39064637321102125
R2_b10,2,485.3714895424837,0.293956448120711,0.27515527618144764,0.3457921810915733,0.6342246829848525,0.7308907074268642,0.3561103085129541,0.6290448070529234,0.3791345702743507
R2_b11,2,480.13362941176473,-0.055214089479525885,0.29493602541783626,0.33387563485292737,0.6067401676913058,0.6015502644659791,,0.47543702815625455,
R2_b12,2,610.5001882352941,0.23989194318502494,0.28625840543052516,0.33975754042735395,0.4769528037530498,0.7118047937371772,0.3766886117743311,0.6127803844319034,0.4082513073754219
R2_b13,2,563.2407326797385,0.1325723816248473,0.09363417090578174,0.36285081748383696,0.47231521075153016,0.6387123912067945,0.2926551139018414,0.28740906492377827,0.3431569998150328
R2_b14,2,406.4541512605042,0.35422495273945753,0.1918084937869079,0.43064549644118033,0.517415068510937,0.743760646890911,0.33929848560793485,0.5781968452486952,0.35451547306730025
R2_b15,2,462.166177124183,0.10311649057685279,-0.7267063876410889,0.24437998827155094,0.23847278252634185,,0.5016213913461526,,0.5589712165749234
R2_b16,2,443.2985298786181,0.08494875849813333,-0.7150388961378742,0.3479016126488742,0.6691471768211336,,0.505874787588188,,0.6857036838635523
R2_b17,2,529.7836016806722,0.036897146871538666,0.0707648873118395,0.3024637147066487,0.40528227502738434,0.5942671771336385,0.2584192030162923,0.16838197604674476,0.3295199873315644
R2_b18,2,376.55035630252104,0.3519325115140113,-0.28075764345202936,0.27758311653327505,-0.15101615612142005,,0.5801473135945543,,0.3519325115140113
R2_b19,2,510.42029084967317,0.2350495931492671,-0.1220472856010053,0.27663011632445367,0.09884948267898319,,0.39988555628720335,,0.2350495931492671
R4_b0,4,479.8072,0.341487580844973,0.2620137422893476,0.3868808567262978,0.5340422152898081,0.7474306364904391,0.36061064134379495,0.6413585188724367,0.3787948576011364
R4_b1,4,593.2530882352941,0.37622488765210516,0.29545352270282055,0.369320724443301,0.5335990368161982,0.7645193782610158,0.39732593692497586,0.6903669300920646,0.41479295241763936
R4_b2,4,603.3798470588235,0.06534489726469661,0.24165086249666445,0.3313423404628181,0.49250168955125295,0.6379989004740969,0.29451116823136103,0.46248600572638554,0.3459500694587335
R4_b3,4,606.1809470588236,0.14894594519297166,0.3363164126862298,0.33191594912720745,0.29904584595935213,0.6847787443652656,0.31427636980418194,0.6251311957967116,0.29904584595935213
R4_b4,4,478.22540588235296,0.34356332755170493,0.45165290484240994,0.40210366512126305,0.8505207100284571,0.7689615967726452,0.33568067522282075,0.80261964322751,0.35169816979856616
R4_b5,4,578.5114117647058,0.18122844493178925,0.1311553867566183,0.3592900860430228,0.27784831942915567,0.6652711345183628,0.36917055419152334,0.3819167531674017,0.27784831942915567
R4_b6,4,601.1412411764705,0.33632126446235644,-0.2277058831924843,0.3259171024028302,0.6171923616932893,,0.4754597328574862,,0.5276468792127986
R4_b7,4,591.7745000000001,0.345636893783021,0.029447462706146954,0.35495212311239044,0.39652722447486366,0.7185860234043777,0.4266466623793519,0.3836081271464311,0.39652722447486366
R4_b8,4,536.9748188235294,0.2909963971670171,0.4998181311224037,0.4130216833668281,0.6043252425840561,0.7553527173327215,0.3235982202224469,0.8226201301510876,0.34415952763836033
R4_b9,4,552.0957117647059,0.4274581716548278,0.400275056269334,0.39776360177181225,0.5540208282939347,0.7939705372949448,0.4139847558253602,0.7940738759427521,0.4274581716548278
